gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10272	245	7822	2314	407	4972	925	153	1481	1137
MSTRG.10273	733	19594	0	340	33529	0	166	18943	0
MSTRG.10274	354	244	1339	233	134	2863	311	47	1231
MSTRG.10275	849	3791	1219	1336	2287	1938	425	930	1386
MSTRG.10276	2298	12	0	2350	70	0	1394	1	0
MSTRG.10277	8876	115	1186	54443	800	1132	5245	108	950
MSTRG.10278	139	26	186	184	6	91	341	9	672
MSTRG.10279	4452	41	8	6405	295	1	2119	434	21
MSTRG.1028	4535	189	9	4446	62	0	4460	251	0
MSTRG.10280	3820	5996	136	4639	3911	70	590	1207	123
MSTRG.10281	7276	4636	10	3111	2642	29	6179	1068	44
MSTRG.10282	379	555	48	295	256	149	233	207	921
MSTRG.10283	800	1	3	222	49	84	1137	4	2
MSTRG.10284	4	1	93	32	1	62	127	0	82
MSTRG.10285	21	46	394	20	12	374	5	129	381
MSTRG.10286	2964	6	2966	1064	0	4860	2477	3	1199
MSTRG.10287	407	992	2665	327	184	2727	172	1003	2365
MSTRG.10288	2853	39	296	1470	0	330	923	0	467
MSTRG.10289	29	0	64	67	20	46	13	0	99
MSTRG.1029	35	3225	164	26	1252	87	30	1524	25
MSTRG.10290	3193	130	0	1496	9	0	1494	2	0
MSTRG.10291	0	27771	305	0	14100	388	0	27602	204
MSTRG.10292	1183	30157	27	1023	14133	105	1190	45388	64
MSTRG.10293	4595	90	0	3081	59	57	5225	308	3
MSTRG.10294	5087	42	965	4304	16	1588	3326	48	1131
MSTRG.10295	0	151	472	0	6	395	0	317	622
MSTRG.10296	1081	63	1358	853	22	954	1562	1	1102
MSTRG.10297	0	0	13	0	0	9	46	0	16
MSTRG.10298	17	1225	3542	161	794	2765	17	1019	3101
MSTRG.10299	753	1125	58	2409	244	138	276	2612	126
MSTRG.103	2066	11	6227	1588	11	2340	1905	21	5932
MSTRG.1030	301	5993	2	218	2296	8	37	4725	5
MSTRG.10300	3665	2173	806	5263	1357	1496	936	436	630
MSTRG.10301	214	2395	36	313	797	187	212	472	12
MSTRG.10302	72	0	1	95	0	55	56	0	0
MSTRG.10303	91	0	0	57	0	0	13	0	0
MSTRG.10304	137	19	663	344	106	1770	447	52	976
MSTRG.10305	74	500	267	55	752	359	1	1175	250
MSTRG.10306	0	7762	165	0	4035	4226	0	4833	94
MSTRG.10307	0	6308	16332	0	2949	17201	0	7764	11049
MSTRG.10308	78	548	8392	115	696	2915	1	457	5490
MSTRG.10309	29	2279	14	1882	1937	138	57	1927	7
MSTRG.1031	377	1576	0	305	65	8	301	967	80
MSTRG.10310	685	73	69	3322	38	196	60	80	30
MSTRG.10311	8143	0	107	3292	0	81	3345	0	109
MSTRG.10312	52	0	13235	145	0	15015	73	0	7731
MSTRG.10313	40	9575	700	38	5870	254	84	1616	725
MSTRG.10314	3893	5	177	2661	114	260	1449	14	112
MSTRG.10315	2643	0	496	1961	0	294	1400	0	413
MSTRG.10316	760	0	4320	939	0	2191	1223	0	616
MSTRG.10317	5675	69	4778	2587	43	2737	3439	48	14463
MSTRG.10318	96	1702	52	45	2156	73	31	1929	75
MSTRG.10319	725	1901	83	1486	1391	129	945	1496	106
MSTRG.1032	5285	1	4617	7731	2	6353	1372	3	4321
MSTRG.10320	625	3	132	295	24	174	238	0	262
MSTRG.10321	909	68	1660	1386	2257	1915	620	1787	2825
MSTRG.10322	1048	531	1473	650	403	2486	853	381	2530
MSTRG.10323	5085	21	3125	6382	11	2780	2600	23	2226
MSTRG.10324	6384	1807	2378	15947	1164	2089	5253	2270	2047
MSTRG.10325	952	1117	3090	1069	718	1186	342	939	2360
MSTRG.10326	3292	206	2518	1503	65	8060	660	66	1782
MSTRG.10327	1023	104	67	1157	4600	320	506	152	98
MSTRG.10328	1291	3386	1684	1346	2966	4909	771	2826	1734
MSTRG.10329	0	38	1142	0	0	1340	0	5	851
MSTRG.1033	632	4618	3512	0	3827	3801	0	6416	2116
MSTRG.10330	1122	1078	1769	758	1010	3053	661	673	1474
MSTRG.10331	1202	372	4214	796	405	3789	958	557	3542
MSTRG.10332	242	1185	549	419	399	306	461	1278	515
MSTRG.10333	3976	1201	613	1557	1426	754	2505	596	311
MSTRG.10334	1552	927	1403	1045	136	2813	886	522	1725
MSTRG.10335	6	0	0	26	0	0	28	0	2
MSTRG.10336	992	2	33	732	359	28	472	5	44
MSTRG.10337	3457	0	496	3937	0	187	493	0	379
MSTRG.10338	1782	185	621	1317	68	354	903	323	416
MSTRG.10339	1259	0	3202	145	70	6245	640	0	2685
MSTRG.1034	2705	45	42	1640	61	167	1537	0	172
MSTRG.10340	1239	483	26	988	6401	43	226	1745	350
MSTRG.10341	207	263	60	105	429	298	104	197	218
MSTRG.10342	440	16397	199	332	18112	132	785	12990	153
MSTRG.10343	917	1438	379	900	4068	375	450	2608	378
MSTRG.10344	191	2541	5	104	1439	40	103	2107	8
MSTRG.10345	840	1361	617	921	530	2174	1090	1103	1055
MSTRG.10346	1029	973	145	452	343	129	174	1856	59
MSTRG.10347	1052	32	680	1604	0	11127	1121	22	922
MSTRG.10348	2112	4276	0	753	3203	99	2662	9936	0
MSTRG.10349	0	820	97	0	1753	94	0	637	499
MSTRG.1035	1133	18350	72	1913	12968	24	329	15468	46
MSTRG.10350	3219	1404	0	3304	1968	0	2539	1502	0
MSTRG.10351	1	1146	0	1	430	0	0	1290	0
MSTRG.10352	2220	1628	4190	1472	1451	1638	1814	1566	2240
MSTRG.10353	4733	31916	1212	4035	22553	492	4361	25859	504
MSTRG.10354	1598	1037	1989	768	845	1016	953	1410	982
MSTRG.10355	6	1817	0	0	944	0	30	1245	0
MSTRG.10356	1	64	19	1	48	2082	4	158	1853
MSTRG.10357	9	312	0	16	240	0	1	566	0
MSTRG.10358	34	4329	6	15	2506	37	0	3319	48
MSTRG.10359	4606	893	329	4852	266	912	1221	435	270
MSTRG.1036	158	64	187	11	22	185	3	16	208
MSTRG.10360	1703	479	4389	1605	281	6446	479	493	2978
MSTRG.10361	5252	585	0	5256	2320	0	1364	780	0
MSTRG.10362	0	319	0	0	211	0	0	259	0
MSTRG.10363	2172	1988	14044	1938	1527	20894	1712	2002	11272
MSTRG.10364	449	42	514	461	59	610	179	31	270
MSTRG.10365	67	1370	856	129	1688	174	49	1518	470
MSTRG.10366	1026	55	358	690	112	77	733	0	213
MSTRG.10367	1378	105	524	1665	54	611	1430	15	399
MSTRG.10368	1024	1684	3216	618	5450	3015	697	2607	1827
MSTRG.10369	3638	1187	423	3133	6521	597	3260	1144	944
MSTRG.1037	441	8	30	524	1	88	454	0	29
MSTRG.10370	826	1147	3194	1247	1380	2322	668	1820	2821
MSTRG.10371	636	1869	0	315	7263	0	479	1009	0
MSTRG.10372	1076	1281	145	1507	987	109	996	1564	284
MSTRG.10373	3562	106	288	3627	43	502	1517	139	544
MSTRG.10374	9901	1665	474	9846	1127	1097	7121	554	633
MSTRG.10375	131	77	5834	142	53	4444	103	12	5566
MSTRG.10376	436	1317	1	525	714	1	297	557	1
MSTRG.10377	32	672	153	48	264	427	9	350	294
MSTRG.10378	142	1050	13768	70	898	10143	65	1271	11750
MSTRG.10379	11229	3972	646	7544	2720	689	7941	807	498
MSTRG.1038	7322	158	2916	3268	125	2125	2747	35	2518
MSTRG.10380	0	1998	72	0	1438	35	0	1998	104
MSTRG.10381	0	623	232	0	493	869	0	545	528
MSTRG.10382	1546	761	803	598	439	207	1126	519	150
MSTRG.10383	1316	1676	4	1223	311	11	761	958	13
MSTRG.10384	1159	9	457	650	10	562	959	88	379
MSTRG.10385	6936	48	54	6830	49	9	5873	126	34
MSTRG.10386	0	0	348	18	0	312	4	0	182
MSTRG.10387	544	362	125	262	181	180	131	574	125
MSTRG.10388	932	30	965	577	7	1594	406	10	151
MSTRG.10389	204	0	282	154	0	185	182	1	224
MSTRG.1039	1662	1	7692	1401	17	8609	50	2	2992
MSTRG.10390	132	397	270	139	205	207	129	101	126
MSTRG.10391	92	15	1591	169	51	2438	233	30	2218
MSTRG.10392	291	83	168	157	66	224	90	131	202
MSTRG.10393	1059	0	93	951	0	98	768	0	94
MSTRG.10394	1702	0	0	1610	0	0	1199	0	0
MSTRG.10395	4493	2112	105	1572	205	108	3723	296	56
MSTRG.10396	116	0	444	75	0	379	109	0	562
MSTRG.10397	2746	0	15	1958	1125	60	1462	0	22
MSTRG.10398	278	0	86	293	0	115	77	0	94
MSTRG.10399	30	2331	28	333	3387	46	17	1866	57
MSTRG.104	284	114	2315	101	176	728	286	171	2443
MSTRG.1040	18	291	0	283	26	3	20	225	78
MSTRG.10400	2310	269	906	1042	1766	1079	309	240	580
MSTRG.10401	470	7	1327	363	73	3902	255	1	585
MSTRG.10402	0	5	273	0	9	233	0	82	151
MSTRG.10403	16	215	792	48	369	653	23	311	818
MSTRG.10404	9493	162	356	6419	149	660	717	217	191
MSTRG.10405	0	692	37993	0	318	48041	0	938	23355
MSTRG.10406	8285	0	5897	4568	0	45458	3695	0	4482
MSTRG.10407	3782	217	4	3056	394	11	2954	388	1
MSTRG.10408	153	0	69	231	0	85	74	0	175
MSTRG.10409	316	0	2	563	0	1	381	0	1
MSTRG.1041	208	0	1820	171	10	4581	162	141	1290
MSTRG.10410	0	1900	60	0	150	6	0	720	26
MSTRG.10411	155	1847	217	220	4025	389	94	1118	346
MSTRG.10412	1085	1443	590	618	1779	621	152	1538	266
